,begin loc,begin name,end loc,end name,grids through,num through
0,"(-71.181398299999998, 42.418561100000012)",Park Ave,"(-71.151317499999976, 42.418163700000008)",US-3/MA-60/Mystic St/Pleasant St,"[2454, 2455, 2456, 2457, 2458, 2459, 2460]",7
1,"(-71.137962000000002, 42.399880600000003)",US-3/MA-16/Alewife Brook Pkwy,"(-71.118533499999998, 42.388222600000013)",Somerville Ave,"[1867, 1916, 1917, 1965, 1966, 2014, 2015, 2063, 2064]",9
2,"(-71.118533499999998, 42.388222600000013)",Somerville Ave,"(-71.126879500000001, 42.382207000000001)",Cambridge St/Garden St,"[1765, 1766, 1816, 1817, 1867]",5
3,"(-71.126879500000001, 42.382207000000001)",Cambridge St/Garden St,"(-71.121207900000002, 42.371297100000007)",Jfk St,"[1517, 1566, 1567, 1616, 1666, 1716, 1765, 1766]",8
4,"(-71.121207900000002, 42.371297100000007)",Jfk St,"(-71.113535700000014, 42.362263200000008)",Putnam Ave,"[1368, 1418, 1467, 1468, 1517]",5
5,"(-71.113535700000014, 42.362263200000008)",Putnam Ave,"(-71.106158299999976, 42.359148400000002)",Brookline St,"[1319, 1320, 1368, 1369]",4
6,"(-71.106158299999976, 42.359148400000002)",Brookline St,"(-71.116077599999997, 42.364075999999997)",Memorial Dr,"[1319, 1320, 1368, 1369, 1418]",5
7,"(-71.116077599999997, 42.364075999999997)",Memorial Dr,"(-71.082650200000003, 42.3535106)",Storrow Dr,"[1223, 1224, 1225, 1271, 1272, 1273, 1320, 1321, 1368, 1369, 1370, 1418]",12
8,"(-71.082650200000003, 42.3535106)",Storrow Dr,"(-71.167029900000017, 42.339970399999999)",MA-2A/Commonwealth Ave,"[907, 908, 958, 959, 960, 961, 1011, 1012, 1013, 1014, 1064, 1065, 1066, 1067, 1068, 1118, 1119, 1120, 1121, 1171, 1172, 1173, 1174, 1175, 1225]",25
9,"(-71.167029900000017, 42.339970399999999)",MA-2A/Commonwealth Ave,"(-71.077165400000013, 42.336712899999988)",I-90/Massachusetts Tpke/Massachusetts Ave,"[869, 870, 871, 872, 873, 874, 875, 876, 907, 908, 909, 910, 911, 912, 913, 914, 915, 916, 917, 918, 919]",21
10,"(-71.077165400000013, 42.336712899999988)",I-90/Massachusetts Tpke/Massachusetts Ave,"(-71.093827099999999, 42.338495700000003)",MA-9/Huntington Ave,"[874, 875, 876, 922, 923, 924]",6
11,"(-71.093827099999999, 42.338495700000003)",MA-9/Huntington Ave,"(-71.078488400000026, 42.343270200000006)",MA-28/Columbus Ave,"[922, 923, 924, 974, 975, 976, 1026]",7
12,"(-71.078488400000026, 42.343270200000006)",MA-28/Columbus Ave,"(-71.080947399999999, 42.332908200000013)",Melnea Cass Blvd/Massachusetts Ave,"[825, 875, 925, 926, 976, 1026]",6
13,"(-71.080947399999999, 42.332908200000013)",Melnea Cass Blvd/Massachusetts Ave,"(-71.078488400000026, 42.343270200000006)",MA-28/Columbus Ave,"[825, 875, 925, 926, 976, 1026]",6
14,"(-71.078488400000026, 42.343270200000006)",MA-28/Columbus Ave,"(-71.093827099999999, 42.338495700000003)",MA-9/Huntington Ave,"[922, 923, 924, 974, 975, 976, 1026]",7
