,begin loc,begin name,end loc,end name,grids through,num through
0,"(-71.097664999999978, 42.372240900000001)",Arlington St/Tremont St,"(-71.056141199999999, 42.362452600000012)",I-93,"[1379, 1380, 1381, 1427, 1428, 1429, 1475, 1476, 1477, 1522, 1523, 1524, 1525, 1572]",14
1,"(-71.056141199999999, 42.362452600000012)",I-93,"(-71.053041100000002, 42.342349600000013)",Boston Bypass Rd,"[981, 1031, 1081, 1131, 1181, 1231, 1281, 1331, 1381]",9
2,"(-71.053041100000002, 42.342349600000013)",Boston Bypass Rd,"(-71.026999899999979, 42.356248999999998)",Ted Williams Tunnel,"[981, 1031, 1032, 1082, 1083, 1084, 1134, 1135, 1185, 1186, 1236, 1237, 1287]",13
3,"(-71.026999899999979, 42.356248999999998)",Ted Williams Tunnel,"(-71.027040499999998, 42.355404399999998)",Ted Williams Tunnel Toll,"[1237, 1287]",2
4,"(-71.027040499999998, 42.355404399999998)",Ted Williams Tunnel Toll,"(-71.016369299999994, 42.3882938)",William F McClellan Hwy,"[1237, 1287, 1337, 1387, 1437, 1487, 1488, 1538, 1588, 1638, 1688, 1738, 1739, 1789, 1839, 1889]",16
5,"(-71.016369299999994, 42.3882938)",William F McClellan Hwy,"(-71.027040499999998, 42.355404399999998)",Ted Williams Tunnel Toll,"[1237, 1287, 1337, 1387, 1437, 1487, 1488, 1538, 1588, 1638, 1688, 1738, 1739, 1789, 1839, 1889]",16
6,"(-71.027040499999998, 42.355404399999998)",Ted Williams Tunnel Toll,"(-71.026999899999979, 42.356248999999998)",Ted Williams Tunnel,"[1237, 1287]",2
7,"(-71.026999899999979, 42.356248999999998)",Ted Williams Tunnel,"(-71.053041100000002, 42.342349600000013)",Boston Bypass Rd,"[981, 1031, 1032, 1082, 1083, 1084, 1134, 1135, 1185, 1186, 1236, 1237, 1287]",13
8,"(-71.056141199999999, 42.362452600000012)",I-93,"(-71.097664999999978, 42.372240900000001)",Arlington St/Tremont St,"[1379, 1380, 1381, 1427, 1428, 1429, 1475, 1476, 1477, 1522, 1523, 1524, 1525, 1572]",14
9,"(-71.050324500000002, 42.301281699999997)",Freeport St,"(-71.047747299999997, 42.3038539)",Morrissey Blvd,"[182, 232]",2
10,"(-71.047747299999997, 42.3038539)",Morrissey Blvd,"(-71.057119399999976, 42.320493999999997)",Columbia Rd,"[232, 282, 332, 381, 382, 431, 481, 530, 531, 580]",10
11,"(-71.057119399999976, 42.320493999999997)",Columbia Rd,"(-71.064373400000022, 42.330960100000013)",Southampton St,"[580, 630, 679, 680, 729, 779]",6
12,"(-71.064373400000022, 42.330960100000013)",Southampton St,"(-71.137038299999986, 42.401472800000008)",Massachusetts Ave,"[778, 779, 828, 877, 878, 927, 976, 977, 1026, 1075, 1076, 1124, 1125, 1174, 1223, 1224, 1273, 1322, 1323, 1372, 1421, 1422, 1470, 1471, 1520, 1569, 1570, 1619, 1668, 1669, 1718, 1767, 1768, 1816, 1817, 1866, 1915, 1916, 1965, 2014, 2015, 2064, 2113, 2114]",44
13,"(-71.137038299999986, 42.401472800000008)",Massachusetts Ave,"(-71.097269400000002, 42.347899299999987)",Massachusetts Tpke,"[1072, 1121, 1122, 1171, 1220, 1221, 1270, 1320, 1369, 1370, 1419, 1468, 1469, 1518, 1568, 1617, 1618, 1667, 1716, 1717, 1766, 1816, 1865, 1866, 1915, 1964, 1965, 2014, 2064, 2113, 2114]",31
14,"(-71.097269400000002, 42.347899299999987)",Massachusetts Tpke,"(-71.057991700000002, 42.352348900000003)",Essex St,"[1072, 1122, 1123, 1124, 1125, 1126, 1127, 1177, 1178, 1179, 1180]",11
15,"(-71.057991700000002, 42.352348900000003)",Essex St,"(-71.056241, 42.352924299999998)",South St/Surface Rd,[1180],1
16,"(-71.056241, 42.352924299999998)",South St/Surface Rd,"(-71.054736900000023, 42.3531282)",Atlantic Ave,"[1180, 1181]",2
17,"(-71.054736900000023, 42.3531282)",Atlantic Ave,"(-71.054914600000018, 42.354644999999998)",High St/Congress St,"[1181, 1231]",2
18,"(-71.054914600000018, 42.354644999999998)",High St/Congress St,"(-71.056403099999997, 42.3623239)",US-1,"[1231, 1281, 1330, 1331, 1380]",5
19,"(-71.056403099999997, 42.3623239)",US-1,"(-71.060782199999977, 42.365640399999997)",Causeway St,"[1380, 1430]",2
