,Parameter Name,Site_keys,LU,ppm
0,TSP - combined,[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}",0.019402800000000005
1,TSP - combined,[ 31.79056 -85.97917],"{'Commercial and Services': 0.06, 'Mixed urban or built-up land': 0.14, 'Industrial': 0.03, 'Cropland and pasture': 0.51, 'Mixed forest land': 0.26}",0.012240000000000001
2,TSP - combined,[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}",0.027359116
3,TSP - combined,[  34.4225 -109.15  ],"{'Shrub-brushland rangeland': 0.49238578680203043, 'Mixed rangeland': 0.5076142131979695}",0.0035355550000000006
4,TSP - combined,[  31.410556 -109.876111],"{'Commercial and Services': 0.02912621359223301, 'Shrub-brushland rangeland': 0.36893203883495146, 'Residential': 0.6019417475728155}",0.012217755
5,TSP - combined,[  31.365556 -109.583611],"{'Shrub-brushland rangeland': 0.9611650485436893, 'Mixed rangeland': 0.009708737864077669, 'Other agricultural land': 0.02912621359223301}",0.022512856
6,TSP - combined,[  31.374167 -109.734167],"{'Shrub-brushland rangeland': 0.17, 'Cropland and pasture': 0.16, 'Mixed rangeland': 0.67}",0.0093975
7,TSP - combined,[  31.351944 -109.582222],"{'Shrub-brushland rangeland': 0.5, 'Industrial': 0.5}",0.007930732
8,TSP - combined,[  31.349733 -109.539695],"{'Commercial and Services': 0.31, 'Residential': 0.69}",0.0034041669999999996
9,TSP - combined,[  31.553333 -110.300278],"{'Commercial and Services': 0.43, 'Residential': 0.23, 'Other urban or built-up land': 0.28, 'Mixed rangeland': 0.03, 'Transitional areas': 0.03}",0.005967208999999999
10,TSP - combined,[  35.198889 -111.646111],"{'Mixed urban or built-up land': 0.8, 'Residential': 0.2}",0.004566667
11,TSP - combined,[  35.199179 -111.647939],"{'Mixed urban or built-up land': 0.79, 'Residential': 0.21}",0.00433913
12,TSP - combined,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}",0.0040999999999999995
13,TSP - combined,[  36.055261 -112.122113],"{'Commercial and Services': 0.0196078431372549, 'Evergreen forest land': 0.9803921568627451}",0.008365072000000001
14,TSP - combined,[  36.080539 -112.155726],"{'Shrub-brushland rangeland': 0.93, 'Evergreen forest land': 0.07}",0.000177052
15,TSP - combined,[  33.028676 -110.809551],{'Shrub-brushland rangeland': 1.0},0.0046913039999999994
16,TSP - combined,[  33.006179 -110.785797],"{'Shrub-brushland rangeland': 0.25, 'Industrial': 0.09, 'Residential': 0.66}",0.005194737999999999
17,TSP - combined,[  33.385278 -110.866389],{'Shrub-brushland rangeland': 1.0},0.004304348
18,TSP - combined,[  33.397555 -110.874001],"{'Commercial and Services': 0.09550561797752809, 'Shrub-brushland rangeland': 0.5617977528089888, 'Residential': 0.34269662921348315}",0.01125851
19,TSP - combined,[  32.83388  -109.718611],"{'Commercial and Services': 0.31, 'Residential': 0.34, 'Industrial': 0.25, 'Cropland and pasture': 0.1}",0.014628966
20,TSP - combined,[  33.010278 -109.363889],"{'Shrub-brushland rangeland': 0.7575757575757576, 'Industrial': 0.24242424242424243}",0.010056800000000001
21,TSP - combined,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}",0.00023
22,TSP - combined,[  33.410046 -111.864864],"{'Commercial and Services': 0.3, 'Residential': 0.31, 'Cropland and pasture': 0.39}",0.014000927
23,TSP - combined,[  33.41045 -111.86507],"{'Commercial and Services': 0.24, 'Residential': 0.3, 'Cropland and pasture': 0.46}",0.023822732
24,TSP - combined,[  33.604486 -111.928479],"{'Shrub-brushland rangeland': 0.15, 'Residential': 0.85}",0.008416333000000002
25,TSP - combined,[  33.47968 -111.91721],"{'Commercial and Services': 0.03, 'Mixed urban or built-up land': 0.22, 'Other urban or built-up land': 0.34, 'Transitional areas': 0.01, 'Residential': 0.4}",0.000813833
26,TSP - combined,[  33.430602 -111.823752],"{'Commercial and Services': 0.16, 'Residential': 0.39, 'Orchards, groves, vineyards, nurseries..': 0.17, 'Transitional areas': 0.28}",0.013166667
27,TSP - combined,[  33.405323 -112.074036],"{'Residential': 0.8, 'Mixed urban or built-up land': 0.2}",0.012157367999999998
28,TSP - combined,[  33.56033 -112.06626],"{'Commercial and Services': 0.13043478260869565, 'Residential': 0.8695652173913043}",0.025747947
29,TSP - combined,[  33.57454 -112.19196],"{'Commercial and Services': 0.25625, 'Cropland and pasture': 0.625, 'Orchards, groves, vineyards, nurseries..': 0.11875}",0.014699285999999999
30,TSP - combined,[  33.45793 -112.04601],"{'Commercial and Services': 0.16379310344827586, 'Residential': 0.8362068965517241}",0.010951794
31,TSP - combined,[  34.48185 -114.33659],"{'Commercial and Services': 0.1, 'Shrub-brushland rangeland': 0.5, 'Transitional areas': 0.155, 'Residential': 0.245}",0.017554129999999998
